Zip Code,County,City
52591,Keokuk,Sigourney
52601,Des Moines,Burlington
52623,Des Moines,Danville
52625,Lee,Donnellson
52626,Van Buren,Farmington
52627,Lee,Fort Madison
52632,Lee,Keokuk
52637,Des Moines,Mediapolis
52639,Lee,Montrose
52641,Henry,Mt Pleasant
52653,Louisa,Wapello
52655,Des Moines,West Burlington
52656,Lee,West Point
52659,HENRY,Winfield
52722,Scott,Bettendorf
52726,Scott,Blue Grass
52728,Scott,Buffalo
52730,Clinton,Camanche
52732,Clinton,Clinton
52733,Clinton,Clinton
52738,Louisa,Columbus Junction
52742,Clinton,Dewitt
52747,Cedar,Durant
52748,Scott,Eldridge
52751,Clinton,Grand Mounds
52753,Scott,Leclaire
52761,Muscatine,Muscatine
52768,Scott,Princeton
52772,Cedar,Tipton
52776,Muscatine,West Liberty
52777,Clinton,Wheatland
52778,Muscatine,Wilton
52801,Scott,Davenport
52802,Scott,Davenport
52803,Scott,Davenport
52804,Scott,Davenport
52806,Scott,Davenport
52807,Scott,Davenport
56201,Des Moines,Burlington
712-2,Harrison,Dunlap
